단지번호,단지명,시구,동,원인,최소면적_㎡,최대면적_㎡,준공년월,위도,경도
115434,동탄역동원로얄듀크1차,용인시 기흥구,고매동,c_name_var,82.96,82.96,201807.0,37.210704,127.102312
112841,동탄파크푸르지오,용인시 기흥구,고매동,c_name_var,98.14,111.51,201801.0,37.217863,127.111751
13080,불곡마을벽산블루밍,용인시 기흥구,고매동,c_name_var,105.08,105.08,200507.0,37.232444,127.117724
3686,민속마을쌍용,용인시 기흥구,공세동,c_name_var,109.83,109.83,200205.0,37.252801,127.117418
3694,민속마을신창미션힐,용인시 기흥구,공세동,c_name_var,114.91,114.91,200209.0,37.252562,127.121925
9993,민속마을현대모닝사이드,용인시 기흥구,공세동,c_name_var,117.76,117.76,200401.0,37.251406,127.119886
3685,상갈메트로파크,용인시 기흥구,구갈동,c_name_var,112.19,112.4,200110.0,37.262952,127.110085
9930,강남마을5단지코오롱하늘채,용인시 기흥구,구갈동,c_name_var,113.92,113.92,200409.0,37.270301,127.129019
11120,어정마을서희삼정,용인시 기흥구,구갈동,c_name_var,115.86,115.86,200305.0,37.27951,127.145073
3687,금화마을대우현대,용인시 기흥구,구갈동,c_name_var,112.66,112.66,200106.0,37.264935,127.110185
24954,지석마을진흥더루벤스2단지,용인시 기흥구,구갈동,c_name_var,109.52,111.12,200812.0,37.260084,127.13899
23776,동탄예당마을우미린제일풍경채,용인시 기흥구,농서동,b_no_trade,102.68,104.07,200809.0,37.212623,127.077913
18502,백현모아미래도2단지,용인시 기흥구,동백동,c_name_var,81.22,81.22,200602.0,37.28211,127.163368
18501,백현모아미래도1단지,용인시 기흥구,동백동,c_name_var,81.17,81.17,200602.0,37.283091,127.160606
10376,해든마을동문굿모닝힐,용인시 기흥구,동백동,c_name_var,110.8,112.65,200711.0,37.280778,127.150911
22631,동백마을동원로얄듀크,용인시 기흥구,동백동,c_name_var,109.65,109.65,200707.0,37.279934,127.148834
17644,호수마을휴먼시아(어울림),용인시 기흥구,동백동,c_name_var,109.09,109.21,200611.0,37.286751,127.15498
19101,플랫폼시티더퍼스트,용인시 기흥구,마북동,c_name_var,70.16,70.77,200603.0,37.290024,127.110555
